id,semantic_groups,preflabel,name,synonyms,description
HGNC:5128,GENE,HOXC6,homeobox C6,CP25|HHO.C8|HOX3|HOX3C,"This gene belongs to the homeobox family, members of which encode a highly conserved family of transcription factors that play an important role in morphogenesis in all multicellular organisms. Mammals possess four similar homeobox gene clusters, HOXA, HOXB, HOXC and HOXD, which are located on different chromosomes and consist of 9 to 11 genes arranged in tandem. This gene, HOXC6, is one of several HOXC genes located in a cluster on chromosome 12. Three genes, HOXC5, HOXC4 and HOXC6, share a 5' non-coding exon. Transcripts may include the shared exon spliced to the gene-specific exons, or they may include only the gene-specific exons. Alternatively spliced transcript variants encoding different isoforms have been identified for HOXC6. Transcript variant two includes the shared exon, and transcript variant one includes only gene-specific exons. [provided by RefSeq, Jul 2008]."
HGNC:12706,GENE,VNN2,vanin 2,FOAP-4|GPI-80,"This gene product is a member of the Vanin family of proteins that share extensive sequence similarity with each other, and also with biotinidase. The family includes secreted and membrane-associated proteins, a few of which have been reported to participate in hematopoietic cell trafficking. No biotinidase activity has been demonstrated for any of the vanin proteins, however, they possess pantetheinase activity, which may play a role in oxidative-stress response. The encoded protein is a GPI-anchored cell surface molecule that plays a role in transendothelial migration of neutrophils. This gene lies in close proximity to, and in same transcriptional orientation as two other vanin genes on chromosome 6q23-q24. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, May 2011]."
HGNC:9441,GENE,PRKX,protein kinase X-linked,PKX1,"This gene encodes a serine threonine protein kinase that has similarity to the catalytic subunit of cyclic AMP dependent protein kinases. The encoded protein is developmentally regulated and may be involved in renal epithelial morphogenesis. This protein may also be involved in macrophage and granulocyte maturation. Abnormal recombination between this gene and a related pseudogene on chromosome Y is a frequent cause of sex reversal disorder in XX males and XY females. Pseudogenes of this gene are found on chromosomes X, 15 and Y. [provided by RefSeq, Feb 2010]."
HGNC:4871,GENE,HERC2P3,hect domain and RLD 2 pseudogene 3,D15F37S4,NA
HGNC:2338,GENE,CRABP1,cellular retinoic acid binding protein 1,CRABP|CRABP-I|CRABPI|RBP5,"This gene encodes a specific binding protein for a vitamin A family member and is thought to play an important role in retinoic acid-mediated differentiation and proliferation processes. It is structurally similar to the cellular retinol-binding proteins, but binds only retinoic acid at specific sites within the nucleus, which may contribute to vitamin A-directed differentiation in epithelial tissue. [provided by RefSeq, Jul 2008]."
HGNC:5986,GENE,IL18,interleukin 18,IGIF|IL-18|IL-1g|IL1F4,"The protein encoded by this gene is a proinflammatory cytokine of the IL-1 family that is constitutively found as a precursor within the cytoplasm of a variety of cells including macrophages and keratinocytes. The inactive IL-18 precursor is processed to its active form by caspase-1, and is capable of stimulating interferon gamma production, and of regulating both T helper (Th) 1 and Th2 responses. This cytokine has been implicated in the injury of different organs, and in potentially fatal conditions characterized by a cytokine storm. In humans, IL-18 gene is located on chromosome 11. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Aug 2020]."
HGNC:10854,GENE,SHOX2,short stature homeobox 2,OG12|OG12X|SHOT,"This gene is a member of the homeobox family of genes that encode proteins containing a 60-amino acid residue motif that represents a DNA binding domain. Homeobox genes have been characterized extensively as transcriptional regulators involved in pattern formation in both invertebrate and vertebrate species. Several human genetic disorders are caused by aberrations in human homeobox genes. This locus represents a pseudoautosomal homeobox gene that is thought to be responsible for idiopathic short stature, and it is implicated in the short stature phenotype of Turner syndrome patients. This gene is considered to be a candidate gene for Cornelia de Lange syndrome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2009]."
HGNC:8126,GENE,OGN,osteoglycin,OG|OIF|SLRR3A,"This gene encodes a member of the small leucine-rich proteoglycan (SLRP) family of proteins. The encoded protein induces ectopic bone formation in conjunction with transforming growth factor beta and may regulate osteoblast differentiation. High expression of the encoded protein may be associated with elevated heart left ventricular mass. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016]."
HGNC:7176,GENE,MMP9,matrix metallopeptidase 9,CLG4B|GELB|MANDP2|MMP-9,"Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. Most MMP's are secreted as inactive proproteins which are activated when cleaved by extracellular proteinases. The enzyme encoded by this gene degrades type IV and V collagens. Studies in rhesus monkeys suggest that the enzyme is involved in IL-8-induced mobilization of hematopoietic progenitor cells from bone marrow, and murine studies suggest a role in tumor-associated tissue remodeling. [provided by RefSeq, Jul 2008]."
HGNC:17278,GENE,PNRC1,proline rich nuclear receptor coactivator 1,B4-2|PNAS-145|PROL2|PRR2,NA
HGNC:8134,GENE,OMD,osteomodulin,OSAD|SLRR2C,NA
HGNC:11848,GENE,TLR2,toll like receptor 2,CD282|TIL4,"The protein encoded by this gene is a member of the Toll-like receptor (TLR) family which plays a fundamental role in pathogen recognition and activation of innate immunity. TLRs are highly conserved from Drosophila to humans and share structural and functional similarities. This protein is a cell-surface protein that can form heterodimers with other TLR family members to recognize conserved molecules derived from microorganisms known as pathogen-associated molecular patterns (PAMPs). Activation of TLRs by PAMPs leads to an up-regulation of signaling pathways to modulate the host's inflammatory response. This gene is also thought to promote apoptosis in response to bacterial lipoproteins. This gene has been implicated in the pathogenesis of several autoimmune diseases. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016]."
HGNC:13448,GENE,SLC38A2,solute carrier family 38 member 2,ATA2|PRO1068|SAT2|SNAT2,NA
HGNC:24957,GENE,HOXA11-AS,HOXA11 antisense RNA,HOXA-AS5|HOXA11-AS1|HOXA11AS|HOXA11S|NCRNA00076,"This gene produces a long non-coding RNA in antisense to transcription of the homeobox A11 gene. This transcript may associate with chromatin factors such as Polycomb repressive complex and act as a sponge for microRNAs, thereby participating in the regulation of expression of target genes. High levels of this transcript may be associated with tumor progression. [provided by RefSeq, Dec 2017]."
HGNC:3721,GENE,FKBP5,FKBP prolyl isomerase 5,AIG6|FKBP51|FKBP54|P54|PPIase|Ptg-10,"The protein encoded by this gene is a member of the immunophilin protein family, which play a role in immunoregulation and basic cellular processes involving protein folding and trafficking. This encoded protein is a cis-trans prolyl isomerase that binds to the immunosuppressants FK506 and rapamycin. It is thought to mediate calcineurin inhibition. It also interacts functionally with mature hetero-oligomeric progesterone receptor complexes along with the 90 kDa heat shock protein and P23 protein. This gene has been found to have multiple polyadenylation sites. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Mar 2009]."
HGNC:7398,GENE,MT1F,metallothionein 1F,MT1,NA
HGNC:1072,GENE,BMP5,bone morphogenetic protein 5,NA,"This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate each subunit of the disulfide-linked homodimer, which plays a role in bone and cartilage development. Polymorphisms in this gene may be associated with osteoarthritis in human patients. This gene is differentially regulated in multiple human cancers. This gene encodes distinct protein isoforms that may be similarly proteolytically processed. [provided by RefSeq, Jul 2016]."
HGNC:10887,GENE,SIX1,SIX homeobox 1,BOS3|DFNA23|TIP39,"The protein encoded by this gene is a homeobox protein that is similar to the Drosophila 'sine oculis' gene product. This gene is found in a cluster of related genes on chromosome 14 and is thought to be involved in limb development. Defects in this gene are a cause of autosomal dominant deafness type 23 (DFNA23) and branchiootic syndrome type 3 (BOS3). [provided by RefSeq, Jul 2008]."
HGNC:7797,GENE,NFKBIA,NFKB inhibitor alpha,EDAID2|IKBA|MAD-3|NFKBI,"This gene encodes a member of the NF-kappa-B inhibitor family, which contain multiple ankrin repeat domains. The encoded protein interacts with REL dimers to inhibit NF-kappa-B/REL complexes which are involved in inflammatory responses. The encoded protein moves between the cytoplasm and the nucleus via a nuclear localization signal and CRM1-mediated nuclear export. Mutations in this gene have been found in ectodermal dysplasia anhidrotic with T-cell immunodeficiency autosomal dominant disease. [provided by RefSeq, Aug 2011]."
HGNC:15588,GENE,SYTL4,synaptotagmin like 4,SLP4,"This gene encodes a member of the synaptotagmin like protein family. Members of this family are characterized by an N-terminal Rab27 binding domain and C-terminal tandem C2 domains. The encoded protein binds specific small Rab GTPases and is involved in intracellular membrane trafficking. This protein binds Rab27 and may be involved in inhibiting dense core vesicle exocytosis. Alternate splicing results in multiple transcript variants that encode the same protein. [provided by RefSeq, Mar 2010]."
HGNC:11060,GENE,SLC7A2,solute carrier family 7 member 2,ATRC2|CAT2|HCAT2,"The protein encoded by this gene is a cationic amino acid transporter and a member of the APC (amino acid-polyamine-organocation) family of transporters. The encoded membrane protein is responsible for the cellular uptake of arginine, lysine and ornithine. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2011]."
HGNC:16253,GENE,SPTLC3,serine palmitoyltransferase long chain base subunit 3,C20orf38|LCB 3|LCB2B|LCB3|SPT 3|SPT3|SPTLC2L|dJ718P11|dJ718P11.1|hLCB2b,"This gene encodes a subunit of the serine palmitoyltransferase complex which catalyzes the rate-limiting step in sphingolipid biosynthesis. This subunit metabolizes lauroyl- and myristoyl-CoA and generates C14 and C16-sphingoid bases. [provided by RefSeq, Mar 2017]."
HGNC:14296,GENE,MT1M,metallothionein 1M,MT-1M|MT-IM|MT1|MT1K,"This gene encodes a member of the metallothionein superfamily, type 1 family. Metallothioneins have a high content of cysteine residues that bind various heavy metals. These genes are transcriptionally regulated by both heavy metals and glucocorticoids. [provided by RefSeq, Oct 2011]."
HGNC:9005,GENE,PITX2,paired like homeodomain 2,ARP1|ASGD4|Brx1|IDG2|IGDS|IGDS2|IHG2|IRID2|Otlx2|PTX2|RGS|RIEG|RIEG1|RS,"This gene encodes a member of the RIEG/PITX homeobox family, which is in the bicoid class of homeodomain proteins. The encoded protein acts as a transcription factor and regulates procollagen lysyl hydroxylase gene expression. This protein plays a role in the terminal differentiation of somatotroph and lactotroph cell phenotypes, is involved in the development of the eye, tooth and abdominal organs, and acts as a transcriptional regulator involved in basal and hormone-regulated activity of prolactin. Mutations in this gene are associated with Axenfeld-Rieger syndrome, iridogoniodysgenesis syndrome, and sporadic cases of Peters anomaly. A similar protein in other vertebrates is involved in the determination of left-right asymmetry during development. Alternatively spliced transcript variants encoding distinct isoforms have been described. [provided by RefSeq, Jul 2008]."
HGNC:3052,GENE,DSP,desmoplakin,DCWHKTA|DP,"This gene encodes a protein that anchors intermediate filaments to desmosomal plaques and forms an obligate component of functional desmosomes. Mutations in this gene are the cause of several cardiomyopathies and keratodermas, including skin fragility-woolly hair syndrome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016]."
HGNC:5994,GENE,IL1R2,interleukin 1 receptor type 2,CD121b|CDw121b|IL-1R-2|IL-1RT-2|IL-1RT2|IL1R2c|IL1RB,"The protein encoded by this gene is a cytokine receptor that belongs to the interleukin 1 receptor family. This protein binds interleukin alpha (IL1A), interleukin beta (IL1B), and interleukin 1 receptor, type I(IL1R1/IL1RA), and acts as a decoy receptor that inhibits the activity of its ligands. Interleukin 4 (IL4) is reported to antagonize the activity of interleukin 1 by inducing the expression and release of this cytokine. This gene and three other genes form a cytokine receptor gene cluster on chromosome 2q12. Alternative splicing results in multiple transcript variants and protein isoforms. Alternative splicing produces both membrane-bound and soluble proteins. A soluble protein is also produced by proteolytic cleavage. [provided by RefSeq, May 2012]."
HGNC:11092,GENE,SLPI,secretory leukocyte peptidase inhibitor,ALK1|ALP|BLPI|HUSI|HUSI-I|MPI|WAP4|WFDC4,"This gene encodes a secreted inhibitor which protects epithelial tissues from serine proteases. It is found in various secretions including seminal plasma, cervical mucus, and bronchial secretions, and has affinity for trypsin, leukocyte elastase, and cathepsin G. Its inhibitory effect contributes to the immune response by protecting epithelial surfaces from attack by endogenous proteolytic enzymes. This antimicrobial protein has antibacterial, antifungal and antiviral activity. [provided by RefSeq, Nov 2014]."
HGNC:1479,GENE,CAPN2,calpain 2,CANP2|CANPL2|CANPml|mCANP,"The calpains, calcium-activated neutral proteases, are nonlysosomal, intracellular cysteine proteases. The mammalian calpains include ubiquitous, stomach-specific, and muscle-specific proteins. The ubiquitous enzymes consist of heterodimers with distinct large, catalytic subunits associated with a common small, regulatory subunit. This gene encodes the large subunit of the ubiquitous enzyme, calpain 2. Multiple heterogeneous transcriptional start sites in the 5' UTR have been reported. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009]."
HGNC:11038,GENE,SLC5A3,solute carrier family 5 member 3,BCW2|SMIT|SMIT1|SMIT2,NA
HGNC:14536,GENE,KLF15,Kruppel like factor 15,KKLF,NA
HGNC:10489,GENE,S100A12,S100 calcium binding protein A12,CAAF1|CAGC|CGRP|ENRAGE|MRP-6|MRP6|p6,"The protein encoded by this gene is a member of the S100 family of proteins containing 2 EF-hand calcium-binding motifs. S100 proteins are localized in the cytoplasm and/or nucleus of a wide range of cells, and involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation. S100 genes include at least 13 members which are located as a cluster on chromosome 1q21. This protein is proposed to be involved in specific calcium-dependent signal transduction pathways and its regulatory effect on cytoskeletal components may modulate various neutrophil activities. The protein includes an antimicrobial peptide which has antibacterial activity. [provided by RefSeq, Nov 2014]."
HGNC:24944,GENE,DDIT4,DNA damage inducible transcript 4,Dig2|REDD-1|REDD1,NA
HGNC:25588,GENE,SLC47A1,solute carrier family 47 member 1,MATE1,"This gene is located within the Smith-Magenis syndrome region on chromosome 17. It encodes a protein of unknown function. [provided by RefSeq, Jul 2008]."
HGNC:1305,GENE,C21orf62,chromosome 21 open reading frame 62,B37|C21orf120|PRED81,NA
HGNC:41186,GENE,WDR86-AS1,WDR86 antisense RNA 1,NA,NA
HGNC:5136,GENE,HOXD13,homeobox D13,BDE|BDSD|HOX4I|SPD|SPD1,"This gene belongs to the homeobox family of genes. The homeobox genes encode a highly conserved family of transcription factors that play an important role in morphogenesis in all multicellular organisms. Mammals possess four similar homeobox gene clusters, HOXA, HOXB, HOXC and HOXD, located on different chromosomes, consisting of 9 to 11 genes arranged in tandem. This gene is one of several homeobox HOXD genes located in a cluster on chromosome 2. Deletions that remove the entire HOXD gene cluster or the 5' end of this cluster have been associated with severe limb and genital abnormalities. Mutations in this particular gene cause synpolydactyly. [provided by RefSeq, Jul 2008]."
HGNC:49234,GENE,RP11-359N11.2,long intergenic non-protein coding RNA 1108,LncRNA-ES1,NA
HGNC:9591,GENE,PTGDR,prostaglandin D2 receptor,AS1|ASRT1|DP|DP1|PTGDR1,"This gene encodes a member of the guanine nucleotide-binding protein (G protein)-coupled receptor (GPCR) superfamily. The receptors are seven-pass transmembrane proteins that respond to extracellular cues and activate intracellular signal transduction pathways. This protein is reported to be a receptor for prostaglandin D2, which is a mediator of allergic inflammation and allergic airway inflammation in asthma. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]."
HGNC:14467,GENE,SLC26A7,solute carrier family 26 member 7,SUT2,"This gene is one member of a family of sulfate/anion transporter genes. Family members are well conserved in gene structure and protein length yet have markedly different tissue expression patterns. This gene has abundant and specific expression in the kidney. Alternatively spliced transcript variants that encode different isoforms have been described. [provided by RefSeq, Aug 2013]."
ensembl:ENSG00000200127,NA,ensembl:ENSG00000200127,NA,NA,NA
HGNC:21144,GENE,DSE,dermatan sulfate epimerase,DS-epi1|DSEP|DSEPI|EDSMC2|SART-2|SART2,"The protein encoded by this gene is a tumor-rejection antigen. It is localized to the endoplasmic reticulum and functions to convert D-glucuronic acid to L-iduronic acid during the biosynthesis of dermatan sulfate. This antigen possesses tumor epitopes capable of inducing HLA-A24-restricted and tumor-specific cytotoxic T lymphocytes in cancer patients and may be useful for specific immunotherapy. Mutations in this gene cause inmusculocontractural Ehlers-Danlos syndrome. Alternative splicing results in multiple transcript variants. A related pseudogene has been identified on chromosome 9, and a paralogous gene exists on chromosome 18. [provided by RefSeq, Apr 2016]."
HGNC:4713,GENE,H19,H19 imprinted maternally expressed transcript,ASM|ASM1|BWS|D11S813E|LINC00008|MIR675HG|NCRNA00008|WT2,"This gene is located in an imprinted region of chromosome 11 near the insulin-like growth factor 2 (IGF2) gene. This gene is only expressed from the maternally-inherited chromosome, whereas IGF2 is only expressed from the paternally-inherited chromosome. The product of this gene is a long non-coding RNA which functions as a tumor suppressor. Mutations in this gene have been associated with Beckwith-Wiedemann Syndrome and Wilms tumorigenesis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2015]."
HGNC:10966,GENE,SLC22A2,solute carrier family 22 member 2,OCT2,"Polyspecific organic cation transporters in the liver, kidney, intestine, and other organs are critical for elimination of many endogenous small organic cations as well as a wide array of drugs and environmental toxins. This gene is one of three similar cation transporter genes located in a cluster on chromosome 6. The encoded protein contains twelve putative transmembrane domains and is a plasma integral membrane protein. It is found primarily in the kidney, where it may mediate the first step in cation reabsorption. [provided by RefSeq, Jul 2008]."
HGNC:2488,GENE,NKX2-5,NK2 homeobox 5,CHNG5|CSX|CSX1|HLHS2|NKX2.5|NKX2E|NKX4-1|VSD3,"This gene encodes a homeobox-containing transcription factor. This transcription factor functions in heart formation and development. Mutations in this gene cause atrial septal defect with atrioventricular conduction defect, and also tetralogy of Fallot, which are both heart malformation diseases. Mutations in this gene can also cause congenital hypothyroidism non-goitrous type 5, a non-autoimmune condition. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2009]."
HGNC:11774,GENE,TGFBR3,transforming growth factor beta receptor 3,BGCAN|betaglycan,"This locus encodes the transforming growth factor (TGF)-beta type III receptor. The encoded receptor is a membrane proteoglycan that often functions as a co-receptor with other TGF-beta receptor superfamily members. Ectodomain shedding produces soluble TGFBR3, which may inhibit TGFB signaling. Decreased expression of this receptor has been observed in various cancers. Alternatively spliced transcript variants encoding different isoforms have been identified for this gene.[provided by RefSeq, Sep 2010]."
HGNC:7399,GENE,MT1G,metallothionein 1G,MT1|MT1K,NA
HGNC:12705,GENE,VNN1,vanin 1,HDLCQ8|Tiff66,"This gene encodes a member of the vanin family of proteins, which share extensive sequence similarity with each other, and also with biotinidase. The family includes secreted and membrane-associated proteins, a few of which have been reported to participate in hematopoietic cell trafficking. No biotinidase activity has been demonstrated for any of the vanin proteins, however, they possess pantetheinase activity, which may play a role in oxidative-stress response. This protein, like its mouse homolog, is likely a GPI-anchored cell surface molecule. The mouse protein is expressed by the perivascular thymic stromal cells and regulates migration of T-cell progenitors to the thymus. This gene lies in close proximity to, and in the same transcriptional orientation as, two other vanin genes on chromosome 6q23-q24. [provided by RefSeq, Feb 2009]."
HGNC:11594,GENE,TBX15,T-box transcription factor 15,TBX14,"This gene belongs to the T-box family of genes, which encode a phylogenetically conserved family of transcription factors that regulate a variety of developmental processes. All these genes contain a common T-box DNA-binding domain. Mutations in this gene are associated with Cousin syndrome.[provided by RefSeq, Oct 2009]."
HGNC:541,GENE,ANXA3,annexin A3,ANX3,"This gene encodes a member of the annexin family.  Members of this calcium-dependent phospholipid-binding protein family play a role in the regulation of cellular growth and in signal transduction pathways.  This protein functions in the inhibition of phopholipase A2 and cleavage of inositol 1,2-cyclic phosphate to form inositol 1-phosphate. This protein may also play a role in anti-coagulation. [provided by RefSeq, Jul 2008]."
